realSum,room_type,person_capacity,business,cleanliness_rating,guest_satisfaction_overall,bedrooms
194.03369812293488,Private,2,0,10.0,93.0,1
344.2457760176224,Private,4,0,8.0,85.0,1
264.1014224451058,Private,2,1,9.0,87.0,1
433.5293979799874,Private,4,1,9.0,90.0,2
485.5529257375859,Private,2,0,10.0,98.0,1
552.808567478265,Private,3,0,8.0,100.0,2
215.12431748412348,Private,2,0,10.0,94.0,1
2771.3073840601787,Apartment,4,0,10.0,100.0,3
1001.8044196564572,Apartment,4,0,9.0,96.0,2
276.52145384669467,Private,2,0,10.0,88.0,1
909.4743748974762,Apartment,2,0,10.0,96.0,1
319.6400534295691,Private,2,0,10.0,97.0,1
675.6028402034074,Apartment,4,0,8.0,87.0,1
552.808567478265,Apartment,2,0,10.0,100.0,1
209.03147189089125,Private,2,0,8.0,96.0,1
368.8514986056758,Private,2,0,10.0,98.0,1
368.8514986056758,Private,2,0,10.0,90.0,1
337.91859020926586,Private,2,0,10.0,97.0,1
313.54720783633684,Private,2,0,10.0,96.0,1
447.5898108874465,Apartment,2,0,9.0,93.0,1
243.2451432990416,Private,2,0,10.0,96.0,1
933.8457572704052,Apartment,4,0,10.0,96.0,2
251.91573125864133,Private,2,0,10.0,97.0,1
377.2877463501512,Private,2,0,10.0,98.0,1
245.5885454502848,Private,2,0,10.0,96.0,1
217.70205985049097,Private,2,0,8.0,93.0,1
295.0343308415157,Private,2,0,10.0,95.0,1
295.0343308415157,Private,2,0,10.0,94.0,1
1032.9716682679916,Apartment,4,0,9.0,96.0,2
270.4286082534624,Private,4,0,10.0,98.0,1
524.6877416633469,Apartment,2,1,9.0,89.0,1
599.6766105031285,Apartment,4,0,9.0,94.0,3
516.0171537037471,Apartment,4,0,9.0,100.0,2
602.254352869496,Apartment,3,0,10.0,100.0,2
504.06580273240695,Apartment,4,0,9.0,94.0,2
1609.9172779040612,Apartment,6,0,10.0,96.0,3
310.9694654699693,Apartment,2,0,9.0,94.0,0
202.70428608253465,Private,2,0,10.0,94.0,1
796.2880509924308,Apartment,4,0,10.0,94.0,2
504.06580273240695,Private,2,0,9.0,96.0,1
319.6400534295691,Private,2,1,10.0,95.0,1
614.4400440559605,Private,4,1,9.0,96.0,1
467.0400487427648,Private,3,1,10.0,94.0,1
716.3780376350386,Apartment,5,0,10.0,96.0,2
350.1042813957304,Private,2,0,10.0,91.0,0
319.6400534295691,Private,2,1,10.0,97.0,1
467.0400487427648,Private,3,1,10.0,96.0,1
983.2915426616364,Apartment,3,0,10.0,100.0,2
298.78377428350484,Private,2,0,9.0,94.0,0
196.6114404893024,Private,4,0,9.0,94.0,1
430.24863496824696,Apartment,2,0,10.0,96.0,1
319.6400534295691,Private,2,1,9.0,95.0,1
405.6429123801936,Private,4,0,9.0,98.0,1
334.16914676727674,Private,2,0,10.0,97.0,1
491.8801115459424,Private,2,1,9.0,98.0,1
319.6400534295691,Private,2,1,9.0,95.0,1
780.3529163639773,Private,4,1,10.0,100.0,5
355.025425913341,Apartment,2,0,9.0,90.0,1
1044.6886790242074,Apartment,4,0,10.0,98.0,2
847.8428983197807,Apartment,4,0,10.0,98.0,3
373.7726431232864,Private,2,0,10.0,98.0,1
